No.,TRACK_NAME,Artists,LastFM URL,LastFM Tags
1,ฉันคือความทรงจำดีๆของเธอรึเปล่า,fellow fellow,https://www.last.fm/music/Fellow+Fellow/_/%E0%B8%89%E0%B8%B1%E0%B8%99%E0%B8%84%E0%B8%B7%E0%B8%AD%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%97%E0%B8%A3%E0%B8%87%E0%B8%88%E0%B8%B3%E0%B8%94%E0%B8%B5%E0%B9%86%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%98%E0%B8%AD%E0%B8%A3%E0%B8%B6%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B9%88%E0%B8%B2/+tags,
2,That's How I'm Feeling,Jack White,https://www.last.fm/music/Jack+White/That%27s+How+I%27m+Feeling/+tags,
3,La Valse d'Amélie,Daku Wan,https://www.last.fm/music/Yann+Tiersen/_/La+Valse+d%27Am%C3%A9lie/+tags,
4,Teri Deewani,Kailash Kher,https://www.last.fm/music/Kailash+Kher/Kailasa/Teri+Deewani/+tags,
5,A Dois Passos Do Paraíso,Planta E Raiz,https://www.last.fm/music/Blitz/_/A+Dois+Passos+do+Para%C3%ADso/+tags,
6,A Casa É Sua,Casa Worship,https://www.last.fm/music/Casa+Worship/_/A+Casa+%C3%89+Sua/+tags,
7,Salt,Haux,https://www.last.fm/music/Haux/Salt/+tags,
8,Real Love,Lloyiso,https://www.last.fm/music/Martin+Garrix/Real+Love/+tags,
9,I'm Gonna Ride,The Dead Daisies,https://www.last.fm/music/The+Dead+Daisies/_/I%27m+Gonna+Ride/+tags,
10,CHEGOU 3,shonci,https://www.last.fm/music/shonci/CHEGOU+3/+tags,
11,Cry For You - Techno Remix,Consilium,https://www.last.fm/music/Consilium/Cry+For+You+(Techno+Remix)/+tags,
12,"Beep-Boop, Beep-Boop",Meaningful Stone,"https://www.last.fm/music/Meaningful+Stone/_/Beep-Boop,+Beep-Boop/+tags",
13,Ordinary People,John Legend,https://www.last.fm/music/John+Legend/_/Ordinary+People/+tags,
14,Groove Back (Feat. Gaeko),J.Y. Park,https://www.last.fm/music/J.Y.+Park/_/Groove+Back+(feat.+Gaeko)/+tags,
15,The Remedy,Polaris,https://www.last.fm/music/Polaris/The+Remedy/+tags,
16,I'm Comin' Over,Chris Young,https://www.last.fm/music/Chris+Young/_/I%27m+Comin%27+Over/+tags,
